Gene,Peak,Distance
Drc1,chr5:30388821-30389733,107433.0
Slc35f6,chr5:30388821-30389733,259112.0
Grk4,chr5:34606932-34607805,53447.0
Rgs12,chr5:35165874-35166776,216429.0
Afap1,chr5:35921389-35922279,28070.0
Rab28,chr5:42417548-42418398,792572.0
Lap3,chr5:43728274-43729087,1765100.0
Lcorl,chr5:43728274-43729087,1968907.0
Tbc1d19,chr5:53279210-53280101,530396.0
Lnx1,chr5:74949150-74949996,356703.0
Cep135,chr5:77806196-77807094,1217498.0
Igfbp7,chr5:77806196-77807094,456956.0
Dck,chr5:89727276-89728118,962280.0
Nup54,chr5:91363354-91364134,1052186.0
Mrpl1,chr5:96035949-96036772,173544.0
Bmp2k,chr5:97700286-97701190,702597.0
Helq,chr5:101051178-101052054,289033.0
Ptpn13,chr5:103803933-103804791,378741.0
Sparcl1,chr5:103845151-103846032,233960.0
Btbd8,chr5:107251495-107252408,186502.0
Rpl5,chr5:107251495-107252408,649007.0
Kctd10,chr5:114185735-114186561,177832.0
Msi1,chr5:115373700-115374611,55899.0
Cit,chr5:115887647-115888551,42369.0
Suds3,chr5:117146925-117147807,55245.0
Rbm19,chr5:119690811-119691726,425654.0
Clip1,chr5:123346057-123346914,231738.0
Denr,chr5:124350824-124351606,443649.0
Cct6a,chr5:129730074-129730939,56924.0
Srrm3,chr5:135845333-135846216,38443.0
Col26a1,chr5:136244472-136245364,497287.0
Gm15672,chr5:139216398-139217243,68822.0
Get4,chr5:139216398-139217243,35926.0
Nudt1,chr5:140388869-140389776,67213.0
Gna12,chr5:140633204-140634115,125204.0
Foxk1,chr5:142928862-142929730,527365.0
Zfp12,chr5:143346108-143346976,110945.0
Zdhhc4,chr5:143346108-143346976,29619.0
Rsph10b,chr5:143809265-143810193,123770.0
Pdap1,chr5:144108836-144109679,1019933.0
Wasf3,chr5:147034104-147034983,649119.0
Ppp1r9a,chr6:5010623-5011527,107706.0
Cav2,chr6:17110238-17111309,170947.0
Tspan12,chr6:22875136-22875975,1103741.0
Ndufa5,chr6:23966823-23967722,551843.0
Wasl,chr6:25086972-25087851,473167.0
Atp6v1f,chr6:30205339-30206235,737621.0
Cep41,chr6:30205339-30206235,448118.0
Akr1b3,chr6:34454230-34455088,151796.0
Ptn,chr6:36988491-36989403,273562.0
Zfp212,chr6:47942741-47943638,22265.0
Zfp467,chr6:47942741-47943638,484956.0
Zfp775,chr6:47942741-47943638,659322.0
Ccdc126,chr6:50300729-50301594,981455.0
Mpp6,chr6:50300729-50301594,190488.0
Lsm5,chr6:55617757-55618605,1083306.0
Abcg2,chr6:58603338-58604172,18815.0
Ndnf,chr6:65671149-65672005,441.0
Chmp3,chr6:72380010-72380893,836213.0
Mthfd2,chr6:83563561-83564330,257870.0
Mob1a,chr6:83563561-83564330,237545.0
Fam136a,chr6:86039955-86040807,325691.0
Snrnp27,chr6:86039955-86040807,635196.0
Antxr1,chr6:87856908-87857768,723055.0
Eogt,chr6:97144170-97145064,34146.0
Itpr1,chr6:106642798-106643679,1570298.0
Rad18,chr6:115504648-115505554,2884798.0
Atp2b2,chr6:115504648-115505554,1760817.0
Rassf4,chr6:116569733-116570608,63275.0
Cxcl12,chr6:117105008-117105851,63527.0
Zfp239,chr6:117552085-117552997,310015.0
Il17ra,chr6:120579784-120580696,116537.0
Cecr2,chr6:120604294-120605076,62075.0
Necap1,chr6:124693959-124694868,1819485.0
Chd4,chr6:125253827-125254742,157846.0
Tnfrsf1a,chr6:125253827-125254742,95535.0
Styk1,chr6:134387210-134388086,3088068.0
Grin2b,chr6:135679505-135680208,33728.0
Strap,chr6:136894527-136895404,840551.0
Recql,chr6:142862286-142863191,511944.0
Kras,chr6:147075479-147076300,1858780.0
Fgfr1op2,chr6:147075479-147076300,498276.0
Eps8l1,chr7:3442246-3443059,1018428.0
Fiz1,chr7:3442246-3443059,1564813.0
Zfp606,chr7:12010175-12011083,468118.0
Rps5,chr7:12010175-12011083,912115.0
Ccdc9,chr7:16729561-16730345,455519.0
Sae1,chr7:16729561-16730345,409327.0
Fkrp,chr7:16729561-16730345,79685.0
Mark4,chr7:19849328-19850227,424553.0
Rps19,chr7:25788218-25789115,903847.0
Tmem145,chr7:25788218-25789115,482112.0
Zfp420,chr7:30012738-30013619,152759.0
Gm5113,chr7:30012738-30013619,157137.0
U2af1l4,chr7:30820530-30821433,257229.0
Cox6b1,chr7:30820530-30821433,203669.0
Mag,chr7:30820530-30821433,78646.0
Pdcd5,chr7:35714516-35715513,72534.0
Ccne1,chr7:35714516-35715513,2383468.0
Etfb,chr7:45091814-45092611,1647731.0
Iglon5,chr7:45091814-45092611,1618910.0
Ctu1,chr7:45091814-45092611,1419798.0
Vrk3,chr7:45091814-45092611,343401.0
Fcgrt,chr7:45091814-45092611,1176.0
Pih1d1,chr7:45091814-45092611,62489.0
Cd37,chr7:45091814-45092611,141818.0
Mtag2,chr7:45091814-45092611,274349.0
Grin2d,chr7:45091814-45092611,740069.0
Zdhhc13,chr7:48880760-48881573,91757.0
Luzp2,chr7:56500090-56500906,1664592.0
Atp10a,chr7:58746636-58747389,90470.0
Tarsl2,chr7:65680817-65681671,35919.0
Det1,chr7:79123204-79124068,301657.0
Ngrn,chr7:80202197-80202968,59018.0
Pde8a,chr7:81154813-81155670,58783.0
Fah,chr7:83094864-83095593,1490295.0
Ccdc90b,chr7:92125584-92126488,435565.0
Mrpl48,chr7:100387966-100388876,157785.0
Arap1,chr7:100767259-100768115,580808.0
Rnf121,chr7:102369375-102370243,350238.0
Nup98,chr7:102369375-102370243,249977.0
Lmo1,chr7:109189451-109190244,50879.0
Mrvi1,chr7:110779403-110780332,88863.0
Arl6ip1,chr7:117929362-117930124,189529.0
Thumpd1,chr7:120103216-120103878,388123.0
Nsmce1,chr7:125603038-125603944,135398.0
Nfatc2ip,chr7:126080705-126081449,302149.0
Eif3c,chr7:126080705-126081449,465750.0
Doc2a,chr7:126080705-126081449,766711.0
Gm21984,chr7:126080705-126081449,861439.0
Kif22,chr7:126080705-126081449,947024.0
Dctpp1,chr7:126080705-126081449,1176254.0
Ate1,chr7:130340235-130341067,51258.0
Nsmce4a,chr7:130340235-130341067,192291.0
Htra1,chr7:130892710-130893560,43401.0
Glrx3,chr7:137714082-137714858,276468.0
Bnip3,chr7:138909166-138910056,18330.0
Zfp511,chr7:140060956-140061831,24565.0
Fuom,chr7:140060956-140061831,35814.0
Sirt3,chr7:140955969-140956751,92303.0
Ifitm10,chr7:142487094-142487966,161257.0
Mrpl23,chr7:142487094-142487966,45592.0
Cars,chr7:144050309-144051227,493079.0
Nadsyn1,chr7:144050309-144051227,254725.0
Pnpla6,chr8:6043690-6044587,2528306.0
Trappc5,chr8:6043690-6044587,2367391.0
Timm44,chr8:6043690-6044587,1783959.0
Cul4a,chr8:13411344-13412232,305723.0
Rasa3,chr8:13693800-13694571,126852.0
Cdc16,chr8:13693800-13694571,63876.0
Fbxo25,chr8:13693800-13694571,214003.0
Mcph1,chr8:18758029-18758906,162898.0
Vps36,chr8:23207974-23208860,1015165.0
Letm2,chr8:24973740-24974659,604750.0
Ddhd2,chr8:24973740-24974659,751606.0
Erlin2,chr8:26961116-26962022,62145.0
Gtf2e2,chr8:37215879-37216796,3484046.0
B230317F23Rik,chr8:60645808-60646389,337629.0
Psd3,chr8:68205282-68206102,516200.0
Zfp869,chr8:70666784-70667644,964128.0
Slc25a42,chr8:70666784-70667644,482444.0
Ell,chr8:70666784-70667644,127327.0
Rpl18a,chr8:70666784-70667644,227938.0
Pgls,chr8:71562522-71563433,29654.0
Tpm4,chr8:71728973-71729709,401201.0
Klf2,chr8:71728973-71729709,590060.0
Slc35e1,chr8:71728973-71729709,751668.0
Hhip,chr8:79297503-79298399,668348.0
Inpp4b,chr8:83165309-83166062,1822753.0
Zfp330,chr8:83165309-83166062,401702.0
Ndufb7,chr8:83165309-83166062,401362.0
Gcdh,chr8:84933555-84934394,47162.0
Vps35,chr8:84933555-84934394,326837.0
Itfg1,chr8:86273541-86274446,555963.0
Lonp2,chr8:86351560-86352465,272483.0
Fam192a,chr8:94801489-94802348,227351.0
Ccdc113,chr8:95542734-95543640,8649.0
Cdh5,chr8:103288229-103289147,813396.0
Ldhd,chr8:111582327-111583118,41458.0
Cntnap4,chr8:111731712-111732600,838331.0
Cmip,chr8:117378891-117379740,121827.0
Mphosph6,chr8:117818653-117819500,27008.0
Cox4i1,chr8:120532493-120533297,135729.0
Car5a,chr8:121697313-121698193,218813.0
Spg7,chr8:122834714-122835586,228228.0
Rpl13,chr8:122834714-122835586,267636.0
Tcf25,chr8:123730027-123730811,356274.0
Nup133,chr8:123730027-123730811,167096.0
Phxr4,chr9:14574727-14575594,1143366.0
Cwc15,chr9:14574727-14575594,74110.0
Zfp846,chr9:22793339-22794199,2212048.0
Dnmt1,chr9:22793339-22794199,1886130.0
Smarca4,chr9:22793339-22794199,1177170.0
Prkcsh,chr9:22793339-22794199,790533.0
Cnn1,chr9:22793339-22794199,694123.0
Ncapd3,chr9:26977523-26978439,52652.0
Fli1,chr9:32204224-32205105,217980.0
Dcps,chr9:34957754-34958704,166654.0
Foxred1,chr9:35330932-35331845,126726.0
Cdon,chr9:35402338-35403232,18790.0
Ei24,chr9:37593678-37594465,814519.0
Nrgn,chr9:37593678-37594465,49186.0
Vwa5a,chr9:38718870-38719615,602.0
AW551984,chr9:39602414-39603304,15018.0
Gm10687,chr9:44305320-44306231,183134.0
Trappc4,chr9:44494909-44495635,91211.0
Tmem25,chr9:44734872-44735768,58897.0
Kmt2a,chr9:44734872-44735768,68483.0
Cep164,chr9:45291588-45292332,475358.0
Atm,chr9:53967503-53968403,528354.0
Acsbg1,chr9:54981210-54982026,376333.0
Scaper,chr9:54981210-54982026,568669.0
Snupn,chr9:56589485-56590357,361393.0
Man2c1,chr9:56589485-56590357,541205.0
Cd276,chr9:58850679-58851559,326381.0
Map2k5,chr9:62972183-62973101,191585.0
Snapc5,chr9:63823121-63824048,356153.0
Aph1b,chr9:66322131-66323032,453071.0
Rps27l,chr9:66322131-66323032,623955.0
Tln2,chr9:66322131-66323032,894956.0
Myo1e,chr9:69453162-69454027,754188.0
Nedd4,chr9:72699799-72700762,37453.0
Myo5a,chr9:75247592-75248489,176577.0
Gnb5,chr9:75247592-75248489,58696.0
Hmgcll1,chr9:75247592-75248489,767263.0
D430036J16Rik,chr9:80694804-80695685,936747.0
Phip,chr9:83861111-83862018,994952.0
Hmgn3,chr9:83861111-83862018,751163.0
Tpbg,chr9:86638591-86639504,796211.0
Snap91,chr9:86638591-86639504,127332.0
Mthfs,chr9:91361545-91362412,2150869.0
Morf4l1,chr9:91361545-91362412,1269880.0
Trpc1,chr9:96445067-96445922,739985.0
Pik3cb,chr9:97762678-97763522,1273976.0
Cep70,chr9:97762678-97763522,1480689.0
Slc35g2,chr9:102192856-102193685,1640668.0
Cep63,chr9:102211476-102212317,373112.0
Nphp3,chr9:103584766-103585496,417778.0
Acad11,chr9:103584766-103585496,478611.0
Alas1,chr9:107576441-107577353,1342986.0
Slc38a3,chr9:107659375-107660268,8741.0
Slc25a20,chr9:108949387-108950243,287299.0
Arpp21,chr9:112291669-112292520,226578.0
Itga9,chr9:119667674-119668505,1060984.0
Plcd1,chr9:119667674-119668505,596147.0
Mobp,chr9:119667674-119668505,482033.0
Nktr,chr9:121247940-121248812,471229.0
Zfp105,chr9:122273608-122274397,649464.0
Praf2,chrX:11463358-11464195,3734919.0
Pqbp1,chrX:11463358-11464195,3568839.0
Mid1ip1,chrX:11463358-11464195,748345.0
Med14,chrX:11481799-11482692,1193570.0
Fundc1,chrX:17547076-17547997,9488.0
Ndufb11,chrX:17547076-17547997,3068250.0
Lonrf3,chrX:48284543-48285136,11956190.0
Nkap,chrX:48284543-48285136,11157748.0
Tmem255a,chrX:48284543-48285136,10087970.0
Thoc2,chrX:48284543-48285136,6489552.0
Slc25a14,chrX:48284543-48285136,338870.0
Rbmx2,chrX:48284543-48285136,410461.0
C430049B03Rik,chrX:48284543-48285136,4770503.0
Mcf2,chrX:71294012-71294902,11238056.0
Gm14698,chrX:71294012-71294902,2472919.0
Mamld1,chrX:71294012-71294902,243772.0
Mtmr1,chrX:71294012-71294902,70748.0
Cetn2,chrX:71294012-71294902,1619520.0
Haus7,chrX:71294012-71294902,2143303.0
Abcd1,chrX:71294012-71294902,2422585.0
Plxna3,chrX:71294012-71294902,3035054.0
Vbp1,chrX:71294012-71294902,4220287.0
Zc3h12b,chrX:99198871-99199731,3487193.0
Tmem28,chrX:99853077-99853966,32056.0
Pdzd11,chrX:101273664-101274555,650781.0
Pin4,chrX:101942184-101943095,177263.0
Cox7b,chrX:106170881-106171756,155181.0
Zfp711,chrX:106170881-106171756,6429645.0
Plp1,chrX:135841814-135842552,980857.0
Prps1,chrX:143063693-143064543,2607080.0
Rragb,chrX:152002763-152003471,1137218.0
Klf8,chrX:152002763-152003471,1234703.0
Acot9,chrX:152002763-152003471,3259680.0
Cnksr2,chrX:161024171-161025028,3202735.0
Map7d2,chrX:161024171-161025028,1609599.0
Sh3kbp1,chrX:161024171-161025028,1396899.0
Cdkl5,chrX:161024171-161025028,252248.0
Syap1,chrX:162527048-162527922,330009.0
Zrsr2,chrX:162527048-162527922,1408395.0
Msl3,chrX:169927038-169927943,1272921.0
Arhgap6,chrX:169927038-169927943,1131939.0
